title,property-description,property-features,property-status,home-price,number-of-bedrooms,number-of-bathrooms,square-footage,annual-tax,maintenance-fee,listing-agent-info,latitude,longitude,body_content,location
"3343 PRIVATE OAK DRIVE, APOPKA, FL 32703 Property for sale","Charming townhome in Oak Pointe with 1,674 sq ft, 3 bedrooms, 2.5 baths. Also containing a garage, and smart home tech. The home has a kitchen with stainless-steel appliances, granite countertops, and island. The primary bedroom features a walk-in closet and ensuite bath. Transform your outdoor living space with a rear triple slider door leading to a covered lanai. Enjoy smart home functionalities like lighting, t...",Central air Laundry Room .1 Car Garage Attached Garage Pool Public Pool Sidewalk Carpet Flooring Central Air Cooling Central Heating Ceramic Tile Flooring Electric Heating Irrigation System Shingle Roof Sprinkler Metered,Reduced price,351990,3,2.5,1674,515,188,"Listing Courtesy of D R HORTON REALTY OF CENTRAL FLORIDA LLC , (407) 250-7299 , MFRMLS : O6254741",28.628,-81.537,"Upcoming open houses: Mar 23 BUY SEARCH Reduced price WEB ID:90468758 3343 PRIVATE OAK DRIVE APOPKA, FL 32703 APOPKA, FL 32703 for sale |Townhouse |Built in 2024 3 beds 2 baths/1 half bath 1674 Approx. Sqft/ 0.09 acres $351,990 USD Maintenance/Common Charges: $188 Annual Tax: $515.00 AvailableImmediately PRESENTED BY redacted PREMIER REALTY 3d tour map BUY SEARCH Reduced price WEB ID:90468758 3343 PRIVATE OAK DRIVE APOPKA, FL 32703 APOPKA, FL 32703 for sale |Townhouse |Built in 2024 3 beds 2 baths/1 half bath 1674 Approx. Sqft/ 0.09 acres $351,990 USD Maintenance/Common Charges: $188 Annual Tax: $515.00 AvailableImmediately PRESENTED BY redacted PREMIER REALTY The Details About 3343 PRIVATE OAK DRIVE, APOPKA, Orange, FL 32703 Charming townhome in Oak Pointe with 1,674 sq ft, 3 bedrooms, 2.5 baths. Also containing a garage, and smart home tech. The home has a kitchen with stainless-steel appliances, granite countertops, and island. The primary bedroom features a walk-in closet and ensuite bath. Transform your outdoor living space with a rear triple slider door leading to a covered lanai. Enjoy smart home functionalities like lighting, t... see more Listing Courtesy ofD R HORTON REALTY OF CENTRAL FLORIDA LLC, (407) 250-7299 ,MFRMLS:O6254741 Contact agent to learn more important details. key features Indoor features Central air Laundry Room Outdoor features .1 Car Garage Attached Garage Pool Public Pool Sidewalk Others Carpet Flooring Central Air Cooling Central Heating Ceramic Tile Flooring Electric Heating Irrigation System Shingle Roof Sprinkler Metered APOPKA The information being provided by My Florida Regional MLS DBA Stellar MLS. is for the consumer's personal, non-commercial use and may not be used for any purpose other than to identify prospective properties consumer may be interested in purchasing. Any information relating to real estate for sale referenced on this web site comes from the Internet Data Exchange (IDX) program of the My Florida Regional MLS DBA Stellar MLS.. D R HORTON REALTY OF CENTRAL FLORIDA LLC is not a Multiple Listing Service (MLS), nor does it offer MLS access. This website is a service of D R HORTON REALTY OF CENTRAL FLORIDA LLC, a broker participant of My Florida Regional MLS DBA Stellar MLS.. This web site may reference real estate listing(s) held by a brokerage firm other than the broker and/or agent who owns this web site. The accuracy of all information, regardless of source, including but not limited to open house information, square footages and lot sizes, is deemed reliable but not guaranteed and should be personally verified through personal inspection by and/or with the appropriate professionals. The data contained herein is copyrighted by My Florida Regional MLS DBA Stellar MLS. and is protected by all applicable copyright laws.","28.628,-81.537"
"Lot 13 Clear Creek Preserve Way, Ellijay, GA 30536 Property for sale","New Subdivision located less than 1/2 mile from Clear Creek Middle and Elementary Schools. Private, rural location with the majority of the lots fronting a large creek. Some overlooking pasture land while others are wooded. Property is within 3 miles of 4 wineries and vineyards. Utilities including phone, cable and internet. Covenants in place to protect your investment.",Paved Private Road,New | Mar 21,82000,,,3.14,,,"Listing Courtesy of CENTURY 21 RESULTS , (706) 515-2100 , NEG : 410165",34.62,-84.389,"BUY SEARCH New | Mar 21 WEB ID:93825408 Lot 13 Clear Creek Preserve Way Ellijay, GA 30536 Ellijay, GA 30536 for sale |Land or Vacant Lot 3.14 acres $82,000 USD PRESENTED BY redacted CLASSIC LIVING 3d tour map BUY SEARCH New | Mar 21 WEB ID:93825408 Lot 13 Clear Creek Preserve Way Ellijay, GA 30536 Ellijay, GA 30536 for sale |Land or Vacant Lot 3.14 acres $82,000 USD PRESENTED BY redacted CLASSIC LIVING The Details About Lot 13 Clear Creek Preserve Way, Ellijay, Gilmer, GA 30536 New Subdivision located less than 1/2 mile from Clear Creek Middle and Elementary Schools. Private, rural location with the majority of the lots fronting a large creek. Some overlooking pasture land while others are wooded. Property is within 3 miles of 4 wineries and vineyards. Utilities including phone, cable and internet. Covenants in place to protect your investment. Listing Courtesy ofCENTURY 21 RESULTS, (706) 515-2100 ,NEG:410165 Contact agent to learn more important details. key features Others Paved Private Road Ellijay North East Georgia MLS provides content displayed here (""provided content"") on an ""as is"" basis and makes no representations or warranties regarding the provided content, including, but not limited to those of non-infringement, timeliness, accuracy, or completeness. Individuals and companies using information presented are responsible for verification and validation of information they utilize and present to their customers and clients. North East Georgia MLS will not be liable for any damage or loss resulting from use of the provided content or the products available through Portals, IDX, VOW, and/or Syndication. Recipients of this information shall not resell, redistribute, reproduce, modify, or otherwise copy any portion thereof without the expressed written consent of North East Georgia MLS.","34.62,-84.389"
"2481 Kaanapali Pkwy #261 I, Lahaina, HI 96761 Property for sale","WTIO 261i - Second floor Location with ocean views from the lanai. This studio, 1 bath Whaler Time Interval unit is located on the south side of Tower II. Easy access to the beach, pool and BBQ's. The condo offers hardwood cabinetry, fully stocked kitchen for easy meal preparation, granite counter tops, stainless steel appliances, full set of linens and towels. Enjoy his interval from April 17 to May 1 every year...",Central air Pool Ceiling Fan(s) Cooling Covered Lanai/Deck In Ground Pitch and Gravel Roof Sauna Spa/Hot Tub,Reduced price,29000,,,542,,207,"Listing Courtesy of KELLER WILLIAMS REALTY MAUI-L , (808) 661-8777 , HI_RAM : 403973",20.922,-156.695,"BUY SEARCH Reduced price WEB ID:90640301 2481 Kaanapali Pkwy, 261 I Lahaina, HI 96761 Lahaina, HI 96761 for sale |Multi Family |Built in 1975 542 Approx. Sqft $29,000 USD Maintenance/Common Charges: $207.58 PRESENTED BY redacted PACIFIC PROPERTIES map BUY SEARCH Reduced price WEB ID:90640301 2481 Kaanapali Pkwy, 261 I Lahaina, HI 96761 Lahaina, HI 96761 for sale |Multi Family |Built in 1975 542 Approx. Sqft $29,000 USD Maintenance/Common Charges: $207.58 PRESENTED BY redacted PACIFIC PROPERTIES The Details About 2481 Kaanapali Pkwy, 261 I, Lahaina, Maui, HI 96761 WTIO 261i - Second floor Location with ocean views from the lanai. This studio, 1 bath Whaler Time Interval unit is located on the south side of Tower II. Easy access to the beach, pool and BBQ's. The condo offers hardwood cabinetry, fully stocked kitchen for easy meal preparation, granite counter tops, stainless steel appliances, full set of linens and towels. Enjoy his interval from April 17 to May 1 every year... see more Listing Courtesy ofKELLER WILLIAMS REALTY MAUI-L, (808) 661-8777 ,HI_RAM:403973 Contact agent to learn more important details. key features Indoor features Central air Outdoor features Pool Others Ceiling Fan(s) Cooling Covered Lanai/Deck In Ground Pitch and Gravel Roof Sauna Spa/Hot Tub Lahaina Building Sales History FOR building FOR building Sales History for building date unit price approx. sq. ft. beds baths 03/19/2025 614T $27,000 523 0 0 02/27/2025 423X $109,000 1444 2 0 02/26/2025 461 Z $26,000 542 0 0 See 3 more rows Realtor Association of Maui provides content displayed here (""provided content"") on an ""as is"" basis and makes no representations or warranties regarding the provided content, including, but not limited to those of non-infringement, timeliness, accuracy, or completeness. Individuals and companies using information presented are responsible for verification and validation of information they utilize and present to their customers and clients. Realtor Association of Maui will not be liable for any damage or loss resulting from use of the provided content or the products available through Portals, IDX, VOW, and/or Syndication. Recipients of this information shall not resell, redistribute, reproduce, modify, or otherwise copy any portion thereof without the expressed written consent of Realtor Association of Maui.","20.922,-156.695"
"1022 Prospect Street #908D, Honolulu, HI 96822 Property for sale","Come and see this unbelievable unit, which has 3 bedrooms, 2.1 baths and 2 covered and secured parking stalls. It has been extensively renovated to provide modern comforts while showcasing panoramic views of the city, ocean, and mountains. This residence features an open floor plan that enhances the sense of space and allows for a flexible interior design. The renovations include a modernized kitchen and bathrooms...",Garage Assigned Ceramic Tile Flooring Covered Guest Laminate Flooring Secured Two Spaces,(blank),775000,3,2.5,1340,1800,,"Listing Courtesy of COLDWELL BANKER REALTY , (808) 738-3904 , HI_HBR : 202503264",21.31,-157.844,"BUY SEARCH WEB ID:92865625 1022 Prospect Street, 908D Honolulu, HI 96822 Honolulu, HI 96822 for sale |Condo |Built in 1969 3 beds 2 baths/1 half bath 1340 Approx. Sqft $775,000 USD Annual Tax: $1,800.00 AvailableImmediately PRESENTED BY redacted PACIFIC PROPERTIES 3d tour map BUY SEARCH WEB ID:92865625 1022 Prospect Street, 908D Honolulu, HI 96822 Honolulu, HI 96822 for sale |Condo |Built in 1969 3 beds 2 baths/1 half bath 1340 Approx. Sqft $775,000 USD Annual Tax: $1,800.00 AvailableImmediately PRESENTED BY redacted PACIFIC PROPERTIES The Details About 1022 Prospect Street, 908D, Honolulu, Oahu, HI 96822 Come and see this unbelievable unit, which has 3 bedrooms, 2.1 baths and 2 covered and secured parking stalls. It has been extensively renovated to provide modern comforts while showcasing panoramic views of the city, ocean, and mountains. This residence features an open floor plan that enhances the sense of space and allows for a flexible interior design. The renovations include a modernized kitchen and bathrooms... see more Listing Courtesy ofCOLDWELL BANKER REALTY, (808) 738-3904 ,HI_HBR:202503264 Contact agent to learn more important details. key features Outdoor features Garage Others Assigned Ceramic Tile Flooring Covered Guest Laminate Flooring Secured Two Spaces Honolulu Building Sales History FOR building FOR building FOR 1022 PROSPECT STREET, 908D Sales History for building date unit price approx. sq. ft. beds baths 10/16/2023 807D $750,000 1340 3 2 07/25/2023 1102B $627,000 1179 2 2 12/15/2022 804E $750,000 1711 3 2 See 3 more rows Sales History for 1022 Prospect Street, 908D date price listing status 10/31/2024 $520,000 Sold Based on information from the Multiple Listing Service of HiCentral MLS, Ltd. listings last updated on 03/22/2025 13:42:27. Information is deemed reliable but not guaranteed. Copyright: 2025 by HiCentral MLS, Ltd.","21.31,-157.844"
"10 Wailea Ekolu Pl #706, Kihei, HI 96753 Property for sale","Best View in Ekolu! Located in the prestigious Wailea community, perfectly sits Wailea Ekolu 706, a top floor condo offering stunning ocean and sunset views. With vaulted ceilings and an open concept floor plan, this residence features a clean, tasteful interior, making it the perfect retreat for those seeking both comfort and style. Enjoy panoramic ocean views from the living room, kitchen, and master bedroom, ...",Central air Dryer Washer Pool Asphalt/Comp Shingle Roof Ceiling Fan(s) Cooling In Ground,(blank),1788500,2,,1071,,,"Listing Courtesy of HAWAII LIFE (W) , (800) 677-5028 , HI_RAM : 404989",20.686,-156.435,"BUY SEARCH WEB ID:93315203 10 Wailea Ekolu Pl, 706 Kihei, HI 96753 Kihei, HI 96753 for sale |Condo |Built in 1979 2 beds 1071 Approx. Sqft $1,788,500 USD PRESENTED BY redacted PACIFIC PROPERTIES map BUY SEARCH WEB ID:93315203 10 Wailea Ekolu Pl, 706 Kihei, HI 96753 Kihei, HI 96753 for sale |Condo |Built in 1979 2 beds 1071 Approx. Sqft $1,788,500 USD PRESENTED BY redacted PACIFIC PROPERTIES The Details About 10 Wailea Ekolu Pl, 706, Kihei, Maui, HI 96753 Best View in Ekolu! Located in the prestigious Wailea community, perfectly sits Wailea Ekolu 706, a top floor condo offering stunning ocean and sunset views. With vaulted ceilings and an open concept floor plan, this residence features a clean, tasteful interior, making it the perfect retreat for those seeking both comfort and style. Enjoy panoramic ocean views from the living room, kitchen, and master bedroom, ... see more Listing Courtesy ofHAWAII LIFE (W), (800) 677-5028 ,HI_RAM:404989 Contact agent to learn more important details. key features Indoor features Central air Dryer Washer Outdoor features Pool Others Asphalt/Comp Shingle Roof Ceiling Fan(s) Cooling In Ground Wailea Opulent resorts, staggering beach views, and a wonderland of top-tier golf courses are the main attractions in this resort community. You want it, Wailea’s got it: high-end retail shops, elevated dining, and indulgent spa services. Nestled on 1,500 acres of land, the area also beckons a sense of adventure to explore the outdoors. Hike through lava fields. Learn what all the buzz is about on scooter snorkeling. On a lucky day, you’ll be able to spot pods of spinner dolphins at La Perouse Bay. For weekly live music, grab a seat at Mulligans on the Blue at dinnertime, and enjoy the sounds of Hawaiiana, jazz, and the blues. In the summertime, Wailea comes alive with highly anticipated events. During Maui’s Film Festival, film screenings take place under the stars. Culinary enthusiasts won’t want to miss the Taste of Wailea, an annual tasting event featuring the best chefs on Maui. Building Sales History FOR building FOR building Sales History for building date unit price approx. sq. ft. beds baths 03/17/2025 404 $1,600,000 1071 2 0 02/27/2025 1006 $1,700,000 1071 2 0 12/13/2024 907 $1,700,000 1071 2 0 See 3 more rows Realtor Association of Maui provides content displayed here (""provided content"") on an ""as is"" basis and makes no representations or warranties regarding the provided content, including, but not limited to those of non-infringement, timeliness, accuracy, or completeness. Individuals and companies using information presented are responsible for verification and validation of information they utilize and present to their customers and clients. Realtor Association of Maui will not be liable for any damage or loss resulting from use of the provided content or the products available through Portals, IDX, VOW, and/or Syndication. Recipients of this information shall not resell, redistribute, reproduce, modify, or otherwise copy any portion thereof without the expressed written consent of Realtor Association of Maui.","20.686,-156.435"
"1247 WAVERLY DRIVE, DAYTONA BEACH, FL 32118 Property for sale","Have you been dreaming of living so close to the beach that you can hear the waves crash, smell the ocean air, and feel the Atlantic breeze? Welcome to Belaire Estates located beachside Daytona. This property is minutes from the beach and the Halifax River. Enjoy the sunrise and sunset from this beautiful 4-bedroom 2 bath brick home with a pool sitting on a stunning .49 acres, one of the largest lots on beachside....",Central air Fireplace Laundry Room .1 Car Garage Attached Garage Metal Roof Pool Private Pool Central Air Cooling Central Heating Electricity Connected Gunite In Ground Vinyl Flooring,(blank),515000,4,2,1731,2580,,"Listing Courtesy of LPT REALTY, LLC , (877) 366-2213 , MFRMLS : FC307155",29.246,-81.022,"BUY SEARCH WEB ID:93782380 1247 WAVERLY DRIVE DAYTONA BEACH, FL 32118 DAYTONA BEACH, FL 32118 for sale |Single Family |Built in 1954 4 beds 2 baths 1731 Approx. Sqft/ 0.49 acres $515,000 USD Annual Tax: $2,580.00 AvailableImmediately PRESENTED BY redacted PREMIER REALTY 3d tour map BUY SEARCH WEB ID:93782380 1247 WAVERLY DRIVE DAYTONA BEACH, FL 32118 DAYTONA BEACH, FL 32118 for sale |Single Family |Built in 1954 4 beds 2 baths 1731 Approx. Sqft/ 0.49 acres $515,000 USD Annual Tax: $2,580.00 AvailableImmediately PRESENTED BY redacted PREMIER REALTY The Details About 1247 WAVERLY DRIVE, DAYTONA BEACH, Volusia, FL 32118 Have you been dreaming of living so close to the beach that you can hear the waves crash, smell the ocean air, and feel the Atlantic breeze? Welcome to Belaire Estates located beachside Daytona. This property is minutes from the beach and the Halifax River. Enjoy the sunrise and sunset from this beautiful 4-bedroom 2 bath brick home with a pool sitting on a stunning .49 acres, one of the largest lots on beachside.... see more Listing Courtesy ofLPT REALTY, LLC, (877) 366-2213 ,MFRMLS:FC307155 Contact agent to learn more important details. key features Indoor features Central air Fireplace Laundry Room Outdoor features .1 Car Garage Attached Garage Metal Roof Pool Private Pool Others Central Air Cooling Central Heating Electricity Connected Gunite In Ground Vinyl Flooring DAYTONA BEACH The information being provided by My Florida Regional MLS DBA Stellar MLS. is for the consumer's personal, non-commercial use and may not be used for any purpose other than to identify prospective properties consumer may be interested in purchasing. Any information relating to real estate for sale referenced on this web site comes from the Internet Data Exchange (IDX) program of the My Florida Regional MLS DBA Stellar MLS.. LPT REALTY, LLC is not a Multiple Listing Service (MLS), nor does it offer MLS access. This website is a service of LPT REALTY, LLC, a broker participant of My Florida Regional MLS DBA Stellar MLS.. This web site may reference real estate listing(s) held by a brokerage firm other than the broker and/or agent who owns this web site. The accuracy of all information, regardless of source, including but not limited to open house information, square footages and lot sizes, is deemed reliable but not guaranteed and should be personally verified through personal inspection by and/or with the appropriate professionals. The data contained herein is copyrighted by My Florida Regional MLS DBA Stellar MLS. and is protected by all applicable copyright laws.","29.246,-81.022"
"6212 W Montrose Avenue, Chicago, IL 60634 Property for sale","Strong investment property with 6 large size units in highly desirable Portage Park location. Fully rented building that consists of 5 units with two bedroom one bath, and 1 unit with one bedroom and one bath. All brick construction, recently tuckpointed, pitched style roof, newer cement parking and sidewalks. All units have great lay-outs and new kitchens and bathrooms hardwood floors sanded. Parking spaces for...",Central air Composition Roof Wall Sleeve Cooling Window Unit(s) Cooling,New | Mar 15,1550000,,,,14853,,"Listing Courtesy of RE/MAX PROPERTIES , (708) 246-6300 , MLSNI : 12313086",41.96,-87.782,"BUY SEARCH New | Mar 15 WEB ID:93943646 6212 W Montrose Avenue Chicago, IL 60634 Chicago, IL 60634 for sale |Commercial |Built in 1977 $1,550,000 USD Annual Tax: $14,853.00 PRESENTED BY redacted URBAN REAL ESTATE map BUY SEARCH New | Mar 15 WEB ID:93943646 6212 W Montrose Avenue Chicago, IL 60634 Chicago, IL 60634 for sale |Commercial |Built in 1977 $1,550,000 USD Annual Tax: $14,853.00 PRESENTED BY redacted URBAN REAL ESTATE The Details About 6212 W Montrose Avenue, Chicago, Cook - Chicago, IL 60634 Strong investment property with 6 large size units in highly desirable Portage Park location. Fully rented building that consists of 5 units with two bedroom one bath, and 1 unit with one bedroom and one bath. All brick construction, recently tuckpointed, pitched style roof, newer cement parking and sidewalks. All units have great lay-outs and new kitchens and bathrooms hardwood floors sanded. Parking spaces for... see more Listing Courtesy ofRE/MAX PROPERTIES, (708) 246-6300 ,MLSNI:12313086 Contact agent to learn more important details. key features Indoor features Central air Others Composition Roof Wall Sleeve Cooling Window Unit(s) Cooling Chicago The data relating to real estate for sale on this web site comes in part from the Broker Reciprocity Program of the Midwest Real Estate Data LLC. Listing information is deemed reliable but not guaranteed.","41.96,-87.782"
"52 Edward St #2, Medford, MA 02155 Property for sale","Experience modern elegance and everyday convenience in this beautifully renovated condo, just steps from Magoun Square, Ball Square, and the Green Line extension. Nestled in a serene Medford-Somerville neighborhood, it offers the best of city living with a peaceful retreat.This spacious unit features two generously sized bedrooms, two full baths, and a half bath, ensuring comfort and privacy. The open-concept layo...",Central air Central Air Cooling Forced Air Heating In Unit Natural Gas Heating,New | Mar 19,665000,2,2.5,1313,5249,227,"Listing Courtesy of JPT Realty LLC , (603) 321-0172 , MLSPIN : 73347700",42.4,-71.102,"BUY SEARCH New | Mar 19 WEB ID:93994771 52 Edward St, 2 Medford, MA 02155 Medford, MA 02155 for sale |Condo |Built in 1900 2 beds 2 baths/1 half bath 1313 Approx. Sqft $665,000 USD Maintenance/Common Charges: $227 Annual Tax: $5,249.00 PRESENTED BY redacted PROPERTY ADVISORS 3d tour map BUY SEARCH New | Mar 19 WEB ID:93994771 52 Edward St, 2 Medford, MA 02155 Medford, MA 02155 for sale |Condo |Built in 1900 2 beds 2 baths/1 half bath 1313 Approx. Sqft $665,000 USD Maintenance/Common Charges: $227 Annual Tax: $5,249.00 PRESENTED BY redacted PROPERTY ADVISORS The Details About 52 Edward St, 2, Medford, Middlesex, MA 02155 Experience modern elegance and everyday convenience in this beautifully renovated condo, just steps from Magoun Square, Ball Square, and the Green Line extension. Nestled in a serene Medford-Somerville neighborhood, it offers the best of city living with a peaceful retreat.This spacious unit features two generously sized bedrooms, two full baths, and a half bath, ensuring comfort and privacy. The open-concept layo... see more Listing Courtesy ofJPT Realty LLC, (603) 321-0172 ,MLSPIN:73347700 Contact agent to learn more important details. key features Indoor features Central air Others Central Air Cooling Forced Air Heating In Unit Natural Gas Heating Medford Building Sales History FOR building FOR building FOR 52 EDWARD ST, 2 Sales History for building date unit price approx. sq. ft. beds baths 07/11/2022 3 $725,000 1073 2 2 08/20/2019 3 $624,000 1073 2 2 06/28/2019 4 $640,000 1073 2 2 See 3 more rows Sales History for 52 Edward St, 2 date price listing status 09/01/2021 $590,000 Sold The property listing data and information, or the Images, set forth herein were provided to MLS Property Information Network, Inc. from third party sources, including sellers, lessors and public records, and were compiled by MLS Property Information Network, Inc. The property listing data and information, and the Images, are for the personal, non-commercial use of consumers having a good faith interest in purchasing or leasing listed properties of the type displayed to them and may not be used for any purpose other than to identify prospective properties which such consumers may have a good faith interest in purchasing or leasing. MLS Property Information Network, Inc. and its subscribers disclaim any and all representations and warranties as to the accuracy of the property listing data and information, or as to the accuracy of any of the Images, set forth herein.","42.4,-71.102"
"4738 N AVERS Avenue, Chicago, IL 60625 Property for sale","Welcome to this charming , East facing, 2.5-story, farmhouse-style home, situated in booming Albany Park, offering classic curb appeal with an inviting front porch and a fenced yard. With its gabled roof, tall windows, and classic facade, this home blends vintage character with modern potential in one of Chicago's most sought-after and fastest appreciating neighborhoods. This lovely home greats you with a gracio...",Central air Dryer Washer Fenced Yard Garage Patio Asphalt Roof Central Air Cooling Curbs Forced Air Heating Hardwood Floors Flooring Natural Gas Heating Sidewalks Street Lights Street Paved,New | Mar 19,485000,4,2,1458,6754,,"Listing Courtesy of COMPASS , (312) 733-7201 , MLSNI : 12310810",41.968,-87.724,"Upcoming open houses: Mar 23 BUY SEARCH New | Mar 19 WEB ID:94035187 4738 N AVERS Avenue Chicago, IL 60625 Chicago, IL 60625 for sale |Single Family |Built in 1910 4 beds 2 baths 1458 Approx. Sqft outdoor space $485,000 USD Annual Tax: $6,754.00 PRESENTED BY redacted URBAN REAL ESTATE 3d tour map BUY SEARCH New | Mar 19 WEB ID:94035187 4738 N AVERS Avenue Chicago, IL 60625 Chicago, IL 60625 for sale |Single Family |Built in 1910 4 beds 2 baths 1458 Approx. Sqft outdoor space $485,000 USD Annual Tax: $6,754.00 PRESENTED BY redacted URBAN REAL ESTATE The Details About 4738 N AVERS Avenue, Chicago, Cook - Chicago, IL 60625 Welcome to this charming , East facing, 2.5-story, farmhouse-style home, situated in booming Albany Park, offering classic curb appeal with an inviting front porch and a fenced yard. With its gabled roof, tall windows, and classic facade, this home blends vintage character with modern potential in one of Chicago's most sought-after and fastest appreciating neighborhoods. This lovely home greats you with a gracio... see more Listing Courtesy ofCOMPASS, (312) 733-7201 ,MLSNI:12310810 Contact agent to learn more important details. key features Indoor features Central air Dryer Washer Outdoor features Fenced Yard Garage Patio Others Asphalt Roof Central Air Cooling Curbs Forced Air Heating Hardwood Floors Flooring Natural Gas Heating Sidewalks Street Lights Street Paved Chicago The data relating to real estate for sale on this web site comes in part from the Broker Reciprocity Program of the Midwest Real Estate Data LLC. Listing information is deemed reliable but not guaranteed.","41.968,-87.724"
"5731 ARTHUR ST, Hollywood, FL 33021 Property for sale","Beautifully renovated home, 3 bedrooms, 2 bathrooms, Centrally located, just a few minutes away from Hard Rock Casino, Hollywood Beach, major expressways, great schools, hospital, shopping and restaurants. Move right into this single family home or make it a perfect rental property, or it could also be used as an excellent Airbnb vacation rental. No HOA and no restrictions. Open concept and brand-new kitchen area ...",Central air Dryer Washer Built-Up Roof Central Air Cooling Central Heating Driveway Fence Heating Heating Tile Flooring Vinyl Flooring,Reduced price,479000,3,2,1140,8546,,"Listing Courtesy of XCELLENCE REALTY , SEFMLS : A11702513",26.021,-80.203,"BUY SEARCH Reduced price WEB ID:91485486 5731 ARTHUR ST Hollywood, FL 33021 Hollywood, FL 33021 for sale |Single Family |Built in 1954 3 beds 2 baths 1140 Approx. Sqft $479,000 USD Annual Tax: $8,546.00 AvailableImmediately virtual tour map BUY SEARCH Reduced price WEB ID:91485486 5731 ARTHUR ST Hollywood, FL 33021 Hollywood, FL 33021 for sale |Single Family |Built in 1954 3 beds 2 baths 1140 Approx. Sqft $479,000 USD Annual Tax: $8,546.00 AvailableImmediately The Details About 5731 ARTHUR ST, Hollywood, FL 33021 Beautifully renovated home, 3 bedrooms, 2 bathrooms, Centrally located, just a few minutes away from Hard Rock Casino, Hollywood Beach, major expressways, great schools, hospital, shopping and restaurants. Move right into this single family home or make it a perfect rental property, or it could also be used as an excellent Airbnb vacation rental. No HOA and no restrictions. Open concept and brand-new kitchen area ... see more Listing Courtesy ofXCELLENCE REALTY,SEFMLS:A11702513 key features Indoor features Central air Dryer Washer Others Built-Up Roof Central Air Cooling Central Heating Driveway Fence Heating Heating Tile Flooring Vinyl Flooring Hollywood Considering everything the city offers, making it big time in Hollywood, Florida, is hardly an issue. Joseph Wesley Young arrived in the area in 1920, envisioning a Floridian fantasy of ocean views, marvelous golfing, sprawling parks, and more. What’s grown is something seemingly right out of Young’s dream journal. The c.1925 Mediterranean Revival-style Hollywood Beach Resort is the spot for passing the day poolside lounging or enjoying the evening oceanfront dining. Hollywood Beach Boardwalk runs past the historic hotel. This 2.5-mile, brick-paved promenade is traversable via foot, bike, or rollerblade and boasts boutiques, cafés, and plentiful beachfront entertainment. Historic Downtown Hollywood is a nightlife hub, showcasing copious bars and clubs and live music across many genres. You never know when you might stumble onto an outdoor concert or festival. Location-wise, Hollywood is near an airport and seaport, with Fort Lauderdale due north and Miami under 25 miles south. South Eastern Florida Multiple Listing Service provides content displayed here (""provided content"") on an ""as is"" basis and makes no representations or warranties regarding the provided content, including, but not limited to those of non-infringement, timeliness, accuracy, or completeness. Individuals and companies using information presented are responsible for verification and validation of information they utilize and present to their customers and clients. South Eastern Florida Multiple Listing Service will not be liable for any damage or loss resulting from use of the provided content or the products available through Portals, IDX, VOW, and/or Syndication. Recipients of this information shall not resell, redistribute, reproduce, modify, or otherwise copy any portion thereof without the expressed written consent of South Eastern Florida Multiple Listing Service.","26.021,-80.203"
